
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  12920 Services                   0      3,412 K
Slack.exe                     9000 Console                    1     58,224 K
PlexScriptHost.exe           13532 Console                    1     15,860 K
Messenger for Desktop.exe    13636 Console                    1     28,392 K
svchost.exe                  13780 Services                   0      4,788 K
conhost.exe                  14028 Console                    1        948 K
jusched.exe                  13512 Console                    1      2,832 K
Plex Tuner Service.exe       14244 Console                    1        680 K
conhost.exe                  13880 Console                    1        100 K
Slack.exe                    14508 Console                    1     10,404 K
Slack.exe                    14524 Console                    1      1,072 K
Slack.exe                    14756 Console                    1     84,956 K
Slack.exe                    14832 Console                    1     29,124 K
svchost.exe                   1768 Services                   0     11,088 K
dllhost.exe                   2304 Console                    1      6,744 K
svchost.exe                  12268 Services                   0     17,140 K
svchost.exe                   5844 Services                   0      4,808 K
SgrmBroker.exe                9308 Services                   0      4,156 K
svchost.exe                   2808 Services                   0      4,620 K
ApplicationFrameHost.exe     14396 Console                    1     18,660 K
WinStore.App.exe             15600 Console                    1        744 K
RuntimeBroker.exe            14080 Console                    1     14,720 K
svchost.exe                  12388 Services                   0      1,568 K
MicrosoftEdge.exe             9444 Console                    1        768 K
browser_broker.exe            4860 Console                    1        644 K
RuntimeBroker.exe             1620 Console                    1        700 K
MicrosoftEdgeCP.exe           1940 Console                    1        480 K
MicrosoftEdgeSH.exe           2616 Console                    1        288 K
svchost.exe                   7992 Services                   0      4,348 K
svchost.exe                   5440 Services                   0      3,992 K
svchost.exe                   3660 Services                   0      1,496 K
svchost.exe                  14440 Services                   0      1,500 K
svchost.exe                   3264 Services                   0      1,868 K
SystemSettingsBroker.exe     17384 Console                    1      8,268 K
dasHost.exe                  15392 Services                   0        148 K
dasHost.exe                  17284 Services                   0        132 K
svchost.exe                  11324 Services                   0      4,484 K
CompPkgSrv.exe               16952 Console                    1        736 K
svchost.exe                   8564 Services                   0      3,004 K
svchost.exe                   6404 Services                   0      1,716 K
chrome.exe                    1016 Console                    1     10,392 K
chrome.exe                   18672 Console                    1    113,100 K
chrome.exe                   19396 Console                    1     14,380 K
chrome.exe                   16672 Console                    1      3,620 K
chrome.exe                   18616 Console                    1     17,920 K
chrome.exe                   19556 Console                    1     14,084 K
chrome.exe                   15376 Console                    1      3,684 K
chrome.exe                    3392 Console                    1      5,360 K
chrome.exe                    8696 Console                    1      3,240 K
mbamtray.exe                  5296 Console                    1     11,236 K
Video.UI.exe                   928 Console                    1        360 K
RuntimeBroker.exe             7820 Console                    1      1,796 K
PeopleApp.exe                18272 Console                    1        716 K
RuntimeBroker.exe            19832 Console                    1      5,932 K
svchost.exe                   5356 Services                   0      1,408 K
chrome.exe                   19976 Console                    1      5,648 K
chrome.exe                    6164 Console                    1     25,500 K
chrome.exe                    3168 Console                    1     23,172 K
SystemSettings.exe           16172 Console                    1        480 K
sqlwriter.exe                 2940 Services                   0        692 K
sqlservr.exe                 19104 Services                   0     59,612 K
sqlceip.exe                  12996 Services                   0     14,892 K
svchost.exe                   3620 Console                    1      1,560 K
svchost.exe                   6040 Console                    1      1,324 K
svchost.exe                   6036 Services                   0      1,812 K
dllhost.exe                  16468 Console                    1        736 K
chrome.exe                   11868 Console                    1     16,180 K
googledrivesync.exe          11436 Console                    1         84 K
googledrivesync.exe           7696 Console                    1     43,080 K
Messenger for Desktop.exe    20268 Console                    1     46,084 K
svchost.exe                  15876 Services                   0      1,376 K
chrome.exe                   19736 Console                    1     36,616 K
chrome.exe                   22792 Console                    1    447,520 K
chrome.exe                    3720 Console                    1     90,664 K
chrome.exe                   20276 Console                    1    279,248 K
chrome.exe                   23176 Console                    1    137,816 K
chrome.exe                   21616 Console                    1     64,728 K
chrome.exe                    1696 Console                    1     31,520 K
chrome.exe                    2916 Console                    1    102,492 K
chrome.exe                   21128 Console                    1     69,928 K
Microsoft.Photos.exe         21140 Console                    1        436 K
RuntimeBroker.exe             1008 Console                    1     16,484 K
Slack.exe                     6016 Console                    1     54,268 K
chrome.exe                   21012 Console                    1     54,352 K
chrome.exe                   10924 Console                    1     41,112 K
dllhost.exe                  20272 Services                   0      3,892 K
chrome.exe                    5712 Console                    1     73,772 K
chrome.exe                   22012 Console                    1     69,644 K
chrome.exe                   24448 Console                    1     75,472 K
svchost.exe                  24236 Services                   0      2,288 K
svchost.exe                  23448 Services                   0      1,336 K
audiodg.exe                   6140 Services                   0     10,932 K
svchost.exe                  14532 Services                   0      5,604 K
chrome.exe                   13744 Console                    1     55,872 K
Code.exe                     17072 Console                    1     79,544 K
Code.exe                     19812 Console                    1     77,760 K
Code.exe                     21284 Console                    1    218,364 K
CodeHelper.exe               22888 Console                    1     15,088 K
conhost.exe                  22660 Console                    1      5,048 K
Code.exe                     12596 Console                    1     11,024 K
Code.exe                     21568 Console                    1     85,208 K
Code.exe                     24012 Console                    1     57,428 K
winpty-agent.exe             24532 Console                    1      5,248 K
conhost.exe                  18788 Console                    1     10,456 K
cmd.exe                      23704 Console                    1      4,672 K
chrome.exe                   19780 Console                    1    131,000 K
winpty-agent.exe             22636 Console                    1      6,368 K
conhost.exe                  20388 Console                    1     10,828 K
cmd.exe                      10256 Console                    1      5,384 K
winpty-agent.exe             20824 Console                    1      6,372 K
conhost.exe                    760 Console                    1     10,804 K
cmd.exe                      20088 Console                    1      5,616 K
chrome.exe                   11368 Console                    1     25,488 K
SearchProtocolHost.exe       22548 Services                   0     12,864 K
svchost.exe                  16884 Services                   0      8,120 K
WmiPrvSE.exe                 23172 Services                   0      9,524 K
SearchFilterHost.exe         18200 Services                   0      8,644 K
cmd.exe                      19500 Console                    1      5,460 K
cmd.exe                       5924 Console                    1      5,244 K
dllhost.exe                  12812 Console                    1     11,900 K
taskhostw.exe                23580 Services                   0      7,632 K
dllhost.exe                  18088 Services                   0      8,716 K
cmd.exe                      13440 Console                    1      5,688 K
conhost.exe                  15736 Console                    1     15,624 K
tasklist.exe                  4112 Console                    1      7,588 K
